Timestamp,MAE,RMSE,R2
2024-09-05 17:44:46.863892,17421.723644912006,28524.849232179462,0.893920153883917
2024-09-05 17:45:12.082636,17313.07766722263,803618617.7119162,0.8952301902155189
2024-09-05 17:46:26.499019,17278.724891000496,797221821.2875398,0.8960641568880682
2024-09-05 17:47:30.172430,17125.43732881472,777168312.3054688,0.8986785840245934
2024-09-05 17:48:48.559356,17353.127875612572,808005180.5224843,0.8946583028287141
2024-09-05 17:49:12.008461,17371.373145136822,828592790.0938063,0.8919742436355038
2024-09-05 17:49:30.445383,17503.71561211831,823412089.1387331,0.8926496648386097
2024-09-05 18:19:22.182714,17218.848736445274,796205163.2482033,0.8961967011908625
2024-09-06 06:11:48.858659,17227.501000986682,784969707.0841101,0.8976614962804854
2024-09-06 08:36:23.440594,17029.364714678104,805926768.4688021,0.8949292707116361
2024-09-06 08:37:06.387182,17022.73110831317,770923415.7925675,0.8994927471180809
2024-09-06 08:39:34.772158,16999.19027324466,775527245.5044304,0.8988925340909545
2024-09-06 08:42:32.053019,17120.25802205376,770905560.0676723,0.899495075014498
2024-09-06 09:10:45.087380,17172.790311621975,797307777.4475405,0.8960529505641546
2024-09-06 09:12:26.351971,17421.195050677135,676263718.4527242,0.9100998365303141
2024-09-06 09:14:53.846166,17531.493475146952,710767546.684392,0.9055130167531804
2024-09-06 09:22:56.563428,17582.671353313235,702595637.5318928,0.9065993621368275
2024-09-06 10:15:52.705061,17878.15623052672,741833875.9487628,0.901383166218451
